,Gender,Parental_Status,Mother_Education,Father_Education,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Desire_Graduate_Education,Good_Family_Relationship,Alcohol_Weekdays,Alcohol_Weekends,Average_Grade,Pass_Fail,School_Absence_BoxCox
0,0,1,5,5,2,1,0,0,0,1,4,1,1,5.5,0,1.4824465839849927
1,0,0,2,2,2,0,1,0,0,1,5,1,1,10.0,1,1.0384122836116765
2,0,0,2,2,2,1,0,0,0,1,4,2,3,12.5,1,1.7623497500683765
3,0,0,5,3,3,0,1,0,1,1,3,1,1,14.0,1,0.0
4,0,0,4,4,2,0,1,0,0,1,4,1,2,12.0,1,0.0
5,1,0,5,4,2,0,1,0,1,1,5,1,2,12.0,1,1.7623497500683765
6,1,0,3,3,2,0,0,0,0,1,4,1,1,12.5,1,0.0
7,0,1,5,5,2,1,1,0,0,1,4,1,1,11.5,1,1.0384122836116765
8,1,1,4,3,2,0,1,0,0,1,4,1,1,15.5,1,0.0
9,1,0,4,5,2,0,1,0,1,1,5,1,1,12.0,1,0.0
10,0,0,5,5,2,0,1,0,0,1,3,1,2,14.0,1,1.0384122836116765
11,0,0,3,2,3,0,1,0,1,1,5,1,1,11.0,1,0.0
12,1,0,5,5,1,0,1,0,1,1,4,1,3,12.5,1,0.0
13,1,0,5,4,2,0,1,0,0,1,5,1,2,12.0,1,0.0
14,1,1,3,3,3,0,1,0,0,1,4,1,1,14.0,1,0.0
15,0,0,5,5,1,0,1,0,0,1,4,1,2,17.0,1,1.7623497500683765
16,0,0,5,5,3,0,1,0,1,1,3,1,2,13.0,1,2.1233164900445316
17,0,0,4,4,2,1,1,0,1,1,5,1,1,13.5,1,1.0384122836116765
18,1,0,4,3,1,0,1,1,1,1,5,2,4,8.0,0,1.0384122836116765
19,1,0,5,4,1,0,0,0,1,1,3,1,3,12.0,1,1.7623497500683765
20,1,0,5,4,2,0,0,0,0,1,4,1,1,12.5,1,0.0
21,1,0,5,5,1,0,1,1,0,1,5,1,1,11.5,1,0.0
22,1,0,5,3,2,0,0,0,1,1,4,1,3,12.5,1,0.0
23,1,0,3,3,2,0,1,0,1,1,5,2,4,10.0,1,1.0384122836116765
24,0,0,3,5,3,1,1,0,1,1,4,1,1,10.5,1,1.0384122836116765
25,0,0,3,3,1,0,1,0,0,1,1,1,3,10.5,1,1.7623497500683765
26,1,0,3,3,1,0,1,0,0,1,4,1,2,11.5,1,1.965139668590525
27,1,0,5,3,1,0,0,0,0,1,2,2,4,11.0,1,0.0
28,1,1,4,5,2,1,1,1,1,1,5,1,1,12.0,1,1.0384122836116765
29,1,0,5,5,2,0,1,1,1,1,4,5,5,11.5,1,1.4824465839849927
30,1,0,5,5,2,0,1,1,0,1,5,3,4,10.5,1,0.0
31,1,0,5,5,2,0,1,0,1,1,4,1,1,15.0,1,1.0384122836116765
32,1,0,5,4,2,0,1,0,1,1,4,1,1,13.5,1,0.0
33,1,0,4,4,2,0,0,0,1,1,5,1,1,12.5,1,0.0
34,1,0,4,3,1,0,1,0,0,1,5,1,1,12.0,1,1.4824465839849927
35,0,0,3,4,1,0,1,0,1,1,3,1,1,11.0,1,1.4824465839849927
36,1,0,5,4,3,0,1,0,1,1,5,1,1,14.0,1,0.0
37,1,1,5,5,3,0,1,0,1,1,2,1,1,13.0,1,1.4824465839849927
38,0,0,4,5,3,1,1,0,1,1,4,1,1,11.5,1,1.0384122836116765
